VUTTI INNERWEARS-(25-26),,,,,,
"39/317-3, Y JUNCTION, KADAPA",,,,,,
Stock Summary,,,,,,
1-Apr-25 to 22-Feb-26,,,,,,
,1-VUTTI INNERWEARS - (25-26),,,,,
Particulars,1-Apr-25 to 22-Feb-26,,,,,
,Closing Balance,,,,,
,HSN,GSTRate,MRP,Value,,Value
86,11023-TWILIGHT-S (8905610802346),,0,399.00,543.40,399.00
87,11023-TWILIGHT-XL (8905610802377),,0,429.00,288.04,429.00
88,11023-TWILIGHT-XS (8905610802339),,0,399.00,535.80,399.00
89,11023-WHITE-L (8905610702585),,0,399.00,812.25,399.00
90,11023-WHITE-M (8905610702578),,0,399.00,1357.31,399.00
91,11023-WHITE-S (8905610702561),,0,399.00,538.65,399.00
92,11023-WHITE-XL (8905610702592),,0,429.00,576.08,429.00
93,11102 HIPSTER-L (8905482355179),,0,579.00,2332.56,579.00
94,11102 HIPSTER-M (8905482356572),,0,579.00,1943.80,579.00
95,11102 HIPSTER-XL (8905482355186),,0,589.00,1977.35,589.00
96,11103-DARK-SOLID-L (8905482355933),,0,519.00,348.70,519.00
97,11103-DARK-SOLID-M (8905482355926),,0,519.00,3484.70,519.00
98,11104-DARK-PRINT-L (8905482356039),,0,579.00,4665.12,579.00
99,11104-DARK-PRINT-M (8905482356022),,0,579.00,3498.84,579.00
100,11104-DARK-PRINT-S (8905482354608),,0,579.00,3887.60,579.00
101,11104-DARK-PRINT-XL (8905482354639),,0,589.00,3163.76,589.00
102,11109-ASSO-L (8905482356435),,0,449.00,2713.23,449.00
103,11109-ASSO-M (8905482356428),,0,449.00,1205.88,449.00
104,11109-ASSO-S (8905482356411),,0,449.00,1808.82,449.00
105,11109-ASSO-XL (8905482356442),,0,459.00,2465.44,459.00
106,11109-ASSO-XXL (8905482356459),,0,469.00,629.80,469.00
107,11113-ASSO-L (8905482356381),,0,479.00,2834.10,479.00
108,11113-ASSO-M (8905482356374),,0,469.00,1574.50,469.00
109,11113-ASSO-S (8905482356367),,0,469.00,2519.20,469.00
110,11113-ASSO-XL (8905482356398),,0,489.00,2251.27,489.00
111,11113-ASSO-XXL (8905482356404),,0,489.00,1313.32,489.00
112,1222-0210-ASSTD-L (8901326026311),,0,919.00,668.02,919.00
113,1222-0210-ASSTD-M (8901326026304),,0,919.00,1336.04,919.00
114,1222-0210-ASSTD-S (8901326026298),,0,919.00,3340.10,919.00
